構想区域人口,手術総数,救急車の受入件数,施設全体_医師_常勤,新規入棟患者数のうち施設からの入院の割合,新規入棟患者数のうち他病棟、他院から転棟の割合,新規入棟患者のうち夜間・時間外に受診診察後直ちに入院となった患者の割合,病床利用率,平均存棟日数,院内総病床数,病床数の全体に占める割合,構想区域人口あたりの医師数,構想区域内の救急車受入数の最大割合
668916,2706.0,4164,107,2.3107292150487693,21.980956804458895,9.727745487916795,91.07754022105577,11.923016759776536,352,91.19318181818183,2.6157245453838747,15.668319979651532
332931,0.0,3404,136,0.5296968330891468,9.850107066381156,9.76318282286075,71.7235430109382,11.315296679368535,679,58.46833578792342,0.9629622954906573,32.661677221262714
292856,308.0,60,7,10.15801354401806,13.882618510158013,3.3860045146726865,86.66666666666666,12.846023688663282,36,100.0,0.9646379107820908,43.266171792152704
916760,347.0,30,6,0.16680567139282734,0.5838198498748958,4.587155963302752,39.19957023905452,6.111390284757119,51,100.0,2.167197521706881,11.943918756830236
740743,589.0,161,20,6.0022650056625135,6.398640996602492,3.397508493771234,91.81288254153309,17.80220401243289,154,61.038961038961034,3.4449194929955467,9.276815596248552
103105,630.0,1045,18,7.981613038027581,5.098203092352695,23.36645588678109,57.246275372462755,11.954896638129046,197,69.54314720812182,1.1367053004219,62.05391527599487
148804,60.0,55,2,26.046511627906977,19.53488372093023,4.651162790697675,45.52054794520548,30.911627906976744,20,100.0,0.780892986747668,36.96598420119297
771746,227.0,10,4,0.0,0.0,4.726890756302521,28.61768368617684,4.845545598313126,44,100.0,4.576505741526358,8.977671512861054
493562,304.0,552,25,5.567010309278351,14.22680412371134,5.347349177330896,68.76175127585282,12.487804878048781,148,34.45945945945946,2.002585288170483,24.02654661901889
53255,79.0,60,6,16.955017301038062,43.77162629757785,1.1235955056179776,90.58530510585304,12.57389801210026,110,20.0,1.308797296028542,88.54385228703315
740743,968.0,2243,27,2.1696252465483234,38.929980276134124,13.878658654778059,83.16904392035023,7.259861932938856,108,89.81481481481481,3.4449194929955467,9.276815596248552
1617143,882.0,0,11,0.2232142857142857,0.2232142857142857,0.0,82.74595267745953,14.806685236768802,90,48.888888888888886,2.29033548671948,9.187337945951942
1155470,523.0,805,24,7.332677165354331,28.641732283464567,3.47296813462227,87.6537452637715,22.552680914885638,198,47.474747474747474,3.779068257938328,4.6812581991063595
352362,490.0,427,16,5.784138342277878,2.3255813953488373,7.2748956469886705,60.83296509058771,16.325526237770532,124,100.0,3.105329178515277,29.020194465220644
158181,50.0,0,2,0.0,0.0,0.0,30.200913242009133,5.2037765538945715,30,100.0,1.1531094126348929,23.6163573657415
61942,401.0,1043,12,3.4682080924855487,6.575144508670521,10.702560735390676,74.89193302891933,17.673850574712645,114,78.94736842105263,1.1252461980562463,55.561893896177985
50797,287.0,478,15,8.29310124164163,17.59289694723542,6.403415154749199,76.0,17.78386165132683,206,24.271844660194176,0.8937535681241018,55.02471169686986
1407697,1040.0,60,9,0.0,0.0,0.0,135.6164383561644,5.690472769076017,40,100.0,1.1160782469522914,18.822195727381118
820860,495.0,5,9,0.0826787928896238,0.1653575857792476,2.273666804464655,55.45606414968259,3.4414264980302716,41,100.0,1.0186877177594231,22.799317239697633
820860,10.0,10,7,15.234375,55.078125,4.807692307692308,67.96868884540118,34.117878192534384,156,22.435897435897438,1.0186877177594231,22.799317239697633
820860,2320.0,750,38,1.260338716029933,4.608113430484443,4.709871891484552,78.8187155310443,8.725553914327918,199,77.38693467336684,1.0186877177594231,22.799317239697633
211617,2271.0,2981,59,6.206045650832819,26.489821098087603,11.94259962049336,73.7822800353018,11.86645272772155,402,88.80597014925372,1.659602016851198,22.249589490968802
452986,973.0,35,6,1.7747440273037545,19.761092150170647,2.04778156996587,55.677679290894446,5.959634293600138,85,100.0,1.751930523239129,48.376244729523634
204416,509.0,282,7,14.838709677419354,4.645161290322581,3.940110323089047,81.53276564235469,14.17117117117117,83,44.57831325301205,2.0394685347526615,34.98691987210542
820860,80.0,678,12,18.981158408932313,19.678995115143056,4.833084205281515,62.10748155953635,8.203201113430758,100,52.0,1.0186877177594231,22.799317239697633
858535,29.0,741,12,6.9164265129683,54.610951008645536,50.28818443804035,31.375235025517057,17.779299847793,102,100.0,2.3807998509088155,11.748211639874457
1754911,171.0,302,6,20.19704433497537,9.261083743842365,4.166666666666666,49.05105853051059,9.78340784898162,110,50.0,1.1357840938942203,8.645219174570624
1324025,1722.0,5404,83,7.344632768361582,2.5343018563357544,12.934631432545201,63.03118624307781,10.491267787839586,336,83.92857142857143,1.275353562055097,15.058494319139612
1324025,970.0,6631,189,3.5757946210268945,37.56112469437653,13.997541350022352,82.75570776255708,11.076241405653171,573,20.94240837696335,1.275353562055097,15.058494319139612
1324025,55.0,397,10,15.718799368088469,14.454976303317535,4.1269841269841265,58.80400421496312,17.534956794972505,199,52.26130653266332,1.275353562055097,15.058494319139612
1324025,3722.0,8933,245,0.7540603248259861,20.25522041763341,12.286689419795222,93.97838275244204,9.441495848092446,632,37.5,1.275353562055097,15.058494319139612
725493,505.0,25,3,0.0,0.0,0.0,7.726027397260274,0.7960479887085392,20,100.0,1.7827877043610343,25.093058185855156
426671,623.0,0,6,0.1607717041800643,0.7234726688102894,0.0,64.55098934550989,6.810116419108792,36,100.0,1.346236327287301,29.378609700090458
254067,734.0,328,11,7.003891050583658,5.291828793774319,5.637982195845697,58.16438356164384,13.1709965102753,128,62.5,0.5667796289955012,30.86350974930362
484282,90.0,45,6,18.731417244796827,21.704658077304263,1.6070711128967456,62.068051259390195,15.808666291502533,534,11.610486891385769,1.1326045568491085,45.275545350172216
735278,1147.0,3080,21,15.672079827822344,31.265897084719235,17.581720088860678,79.22789539227895,12.177241841324529,390,56.41025641025641,1.1002641177894619,28.158004654215645
1711269,50.0,0,14,0.0,67.21649484536083,0.0,72.34122042341221,23.92996910401648,172,25.581395348837212,1.1898187836044478,11.261237393807733
173385,55.0,478,0,18.367346938775512,10.841836734693878,10.700757575757576,75.77129243597379,18.93154761904762,179,25.69832402234637,1.0935202007094038,72.70266419717909
1155470,810.0,829,33,9.973753280839896,20.57086614173228,6.546644844517186,61.798434442270064,10.353770491803278,175,80.0,3.779068257938328,4.6812581991063595
410235,1540.0,1288,37,2.3706896551724137,6.096059113300493,7.633587786259542,59.51887738055463,8.478819609709662,199,61.80904522613065,0.7242190451814204,25.060623797976415
465894,91.0,135,5,11.910669975186105,13.151364764267989,9.433962264150944,63.83013698630137,28.586503067484664,100,50.0,2.9506711827153818,11.872692104800423
771746,1057.0,237,28,7.524148449415353,10.167768174885612,0.16744809109176156,76.60840812470478,12.361280487804878,309,28.155339805825243,4.576505741526358,8.977671512861054
247904,354.0,45,6,0.9191176470588236,3.4926470588235294,6.4338235294117645,71.6074923119933,23.456043956043956,49,100.0,1.01006841357945,37.806973218797374
818320,60.0,723,8,15.823466092572659,8.180839612486544,6.489292667099286,76.85616438356165,12.085083467959073,120,33.33333333333333,1.2838498386939095,18.736433750519556
1155470,103.0,60,13,11.428571428571429,25.546218487394956,9.287925696594428,80.36986301369863,29.237541528239202,100,60.0,3.779068257938328,4.6812581991063595
516816,55.0,50,8,9.62566844919786,41.889483065953655,0.0,62.465753424657535,24.53811659192825,180,33.33333333333333,2.473027150862202,21.976645794550688
120470,2712.0,2971,60,7.7851967609035375,3.168063645404177,18.88052280153431,83.47593582887701,16.50296886314265,390,95.8974358974359,0.6026396613264713,86.09098811938568
120470,153.0,480,6,16.756756756756758,6.702702702702703,7.675675675675675,89.89236790606653,19.85305240410589,60,93.33333333333333,0.6026396613264713,86.09098811938568
397298,65.0,100,6,33.26653306613226,7.8156312625250495,2.7027027027027026,93.52958321189158,34.284188034188034,69,68.11594202898551,2.701750323434802,24.483648881239244
459781,0.0,0,0,6.7286409915892,20.59908514091781,0.0,85.27013698630137,11.551217339667458,313,79.87220447284345,1.054632531574815,25.251655272648975
771746,589.0,310,15,2.1761658031088085,8.652849740932643,4.352331606217617,49.01826484018265,11.109961190168177,120,100.0,4.576505741526358,8.977671512861054
275508,66.0,240,8,19.298245614035086,18.295739348370926,6.839622641509433,72.74624918460535,20.949279899812147,149,42.281879194630875,2.3026554582807033,27.77838249700664
476915,2525.0,2835,51,4.680161943319838,10.688259109311742,5.9271255060728745,71.51595139489373,12.497375536822014,301,100.00000000000001,4.089827327720873,15.630176178286403
476915,90.0,107,11,3.70722433460076,56.463878326996195,1.0107816711590296,65.50327575938059,20.605152224824355,250,36.8,4.089827327720873,15.630176178286403
740743,5.0,0,9,6.68103448275862,60.775862068965516,0.0,88.96704924102184,26.091205211726383,85,43.529411764705884,3.4449194929955467,9.276815596248552
505512,5.0,35,3,6.4855390008764235,1.4022787028922,3.067484662576687,40.885844748858446,7.850942569048663,60,100.0,1.0310338824795455,22.857466961601723
359223,0.0,60,8,27.716186252771617,31.263858093126384,0.0,93.25132792843165,36.77618522601985,199,24.623115577889447,1.5870364648143354,28.72184257150089
1754911,438.0,1188,22,11.946532999164578,41.18629908103592,7.206908003985387,35.95529920692141,6.074299634591961,254,44.881889763779526,1.1357840938942203,8.645219174570624
2501526,110.0,306,10,0.5026929982046678,20.96947935368043,17.98510109968074,80.64383561643835,8.450744661762068,120,66.66666666666666,1.437002853458249,11.79884939387713
119184,10.0,50,2,29.44038929440389,40.14598540145985,12.165450121654501,82.29763387297633,31.84819277108434,44,100.0,1.0060075177876224,61.34913400182316
