TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
休日に受診した患者延べ数,休日に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,夜間・時間外に受診した患者延べ数,夜間・時間外に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,救急車の受入件数,施設全体_医師_常勤,施設全体_医師_非常勤,,,,,,,,,,,,,うち、予定外の救急医療入院の患者（年間）,在棟患者延べ数（年間）,退棟患者数（年間）,新規入棟患者数（年間）.1,うち、院内の他病棟からの転棟（年間）,うち、家庭からの入院（年間）,うち、他の病院、診療所からの転院（年間）,うち、介護施設、福祉施設からの入院（年間）,うち、介護医療院からの入院（年間）,うち、院内の出生（年間）,うち、その他（年間）,構想区域人口
1126,540,1995,999,3368,87,6,,,,,,,,,,,,,,,,,,,,,,,,
92,61,84,40,50,7,1.6,,,,,,,,,,,,,,,,,,,,,,,,
92,61,84,40,50,7,1.6,,,,,,,,,,,,,,,,,,,,,,,,
92,61,84,40,50,7,1.6,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
435,237,375,215,795,19,0.2,,,,,,,,,,,,,,,,,,,,,,,,
435,237,375,215,795,19,0,,,,,,,,,,,,,,,,,,,,,,,,
435,237,375,215,795,19,0.2,,,,,,,,,,,,,,,,,,,,,,,,
435,237,375,215,795,19,0.2,,,,,,,,,,,,,,,,,,,,,,,,
431,180,566,270,1132,14,5.5,,,,,,,,,,,,,,,,,,,,,,,,
431,180,566,270,1132,14,5,,,,,,,,,,,,,,,,,,,,,,,,
431,180,566,270,1132,14,5.5,,,,,,,,,,,,,,,,,,,,,,,,
431,180,566,270,1132,14,5,,,,,,,,,,,,,,,,,,,,,,,,
614,201,1041,388,1253,10,2.5,,,,,,,,,,,,,,,,,,,,,,,,
614,201,1041,388,1253,10,2.5,,,,,,,,,,,,,,,,,,,,,,,,
614,201,1041,388,1253,10,2.5,,,,,,,,,,,,,,,,,,,,,,,,
614,201,1041,388,1253,10,2,,,,,,,,,,,,,,,,,,,,,,,,
260,55,349,80,157,3,0.8,,,,,,,,,,,,,,,,,,,,,,,,
260,55,349,80,157,3,0,,,,,,,,,,,,,,,,,,,,,,,,
15,10,60,60,40,9,2,,,,,,,,,,,,,,,,,,,,,,,,
98,10,0,0,60,8,0.8,,,,,,,,,,,,,,,,,,,,,,,,
98,10,0,0,60,8,0,,,,,,,,,,,,,,,,,,,,,,,,
98,10,0,0,60,8,0,,,,,,,,,,,,,,,,,,,,,,,,
98,10,0,0,60,8,0,,,,,,,,,,,,,,,,,,,,,,,,
74,0,55,0,55,2,2,,,,,,,,,,,,,,,,,,,,,,,,
74,0,55,0,55,2,2,,,,,,,,,,,,,,,,,,,,,,,,
514,55,355,55,364,5,1.7,,,,,,,,,,,,,,,,,,,,,,,,
52,0,50,0,30,1,2,,,,,,,,,,,,,,,,,,,,,,,,
782,93,519,182,539,9,0,,,,,,,,,,,,,,,,,,,,,,,,
782,93,519,182,539,9,0,,,,,,,,,,,,,,,,,,,,,,,,
782,93,519,182,539,9,0,,,,,,,,,,,,,,,,,,,,,,,,
93,40,67,35,60,4,0.2,,,,,,,,,,,,,,,,,,,,,,,,
93,40,67,35,60,4,0,,,,,,,,,,,,,,,,,,,,,,,,
136,25,217,50,101,1,0,,,,,,,,,,,,,,,,,,,,,,,,
136,25,217,50,101,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,
66,35,119,55,60,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
66,35,119,55,60,2,0,,,,,,,,,,,,,,,,,,,,,,,,
226,55,65,30,91,2,0,,,,,,,,,,,,,,,,,,,,,,,,
627,60,1252,225,671,21,19,,,,,,,,,,,,,,,,,,,,,,,,
627,60,1252,225,671,21,19.1,,,,,,,,,,,,,,,,,,,,,,,,
627,60,1252,225,671,21,19.1,,,,,,,,,,,,,,,,,,,,,,,,
627,60,1252,225,671,21,19,,,,,,,,,,,,,,,,,,,,,,,,
627,60,1252,225,671,21,19,,,,,,,,,,,,,,,,,,,,,,,,
627,60,1252,225,671,21,19,,,,,,,,,,,,,,,,,,,,,,,,
271,55,266,65,190,4,1,,,,,,,,,,,,,,,,,,,,,,,,
271,55,266,65,190,4,1,,,,,,,,,,,,,,,,,,,,,,,,
185,50,677,60,123,2,1.9,,,,,,,,,,,,,,,,,,,,,,,,
343,15,50,20,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,
343,15,50,20,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,
343,15,50,20,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,
289,60,411,84,274,4,1.5,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,
